CODIGO_DA_IES,NOME_DA_IES,SIGLA,CATEGORIA_DA_IES,COMUNITARIA,CONFESSIONAL,FILANTROPICA,ORGANIZACAO_ACADEMICA,CODIGO_MUNICIPIO_IBGE,MUNICIPIO,UF,SITUACAO_IES
21995,Faculdade de Tecnologia Senac Curitiba,,Privada,N,N,N,Faculdade,000000004106902,Curitiba,PR,Ativa
1768,FACULDADE REGIONAL SERRANA,FUNPAC,Privada,N,N,N,Faculdade,000000003205069,Venda Nova do Imigrante,ES,Extinta
23261,Faculdade São Judas de São Bernardo do Campo,,Privada,N,N,N,Faculdade,000000003548708,São Bernardo do Campo,SP,Ativa
14123,Faculdade Presidente Antônio Carlos de Bom Sucesso,FUNEES Bom Sucesso,Privada,N,N,N,Faculdade,000000003108008,Bom Sucesso,MG,Extinta
17952,Faculdade de Tecnologia de Jacareí,FATEC Jacareí,Pública,N,N,N,Faculdade,000000003524402,Jacareí,SP,Ativa
660,FACULDADE METODISTA DO SUL PAULISTA,FMSP,Privada,N,N,N,Faculdade,000000003522406,Itapeva,SP,Extinta
1494,Centro Universitário Salesiano,UniSales,Privada,N,N,N,Centro Universitário,000000003205309,Vitória,ES,Ativa
1253,FACULDADE METODISTA GRANBERY,FMG,Privada,S,N,N,Faculdade,000000003136702,Juiz de Fora,MG,Ativa
3363,FACULDADE GUARAÍ,FAG,Privada,N,N,N,Faculdade,000000001709302,Guaraí,TO,Ativa
1279,FACULDADE DE ITÁPOLIS - FACITA,FACITA,Privada,N,N,N,Faculdade,000000003522703,Itápolis,SP,Ativa
25613,ACADEMIA DE POLÍCIA MILITAR DE MINAS GERAIS,APM,Pública,N,N,N,Faculdade,000000003106200,Belo Horizonte,MG,Ativa
14724,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARANÁ",IFPR,Pública,N,N,N,"Instituto Federal de Educação, Ciência e Tecnologia",000000004106902,Curitiba,PR,Ativa
3306,FACULDADE DE TECNOLOGIA IPUC,FATIPUC,Privada,N,N,N,Faculdade,000000004304606,Canoas,RS,Ativa
18099,Faculdade de Tecnologia de Diadema Luigi Papaiz,FATEC DIADEMA,Pública,N,N,N,Faculdade,000000003513801,Diadema,SP,Ativa
1433,Faculdade Vilas Boas,FVB,Privada,N,N,N,Faculdade,000000003526803,Lençóis Paulista,SP,Ativa
14622,FACULDADE UNIFTB,null,Privada,N,N,N,Faculdade,000000002807402,Tobias Barreto,SE,Ativa
2044,INSTITUTO SUPERIOR DE EDUCAÇÃO VALE DO SALGADO,IVS,Privada,N,N,N,Faculdade,000000002305407,Icó,CE,Extinta
1835,FACULDADE DE COLINAS DO TOCANTINS,null,Privada,N,N,N,Faculdade,000000001705508,Colinas do Tocantins,TO,Ativa
18736,Escola Superior de Tecnologia & Gestão de Santa Catarina,EST&G,Privada,N,N,N,Faculdade,000000004205407,Florianópolis,SC,Extinta
166,"FAI - CENTRO DE ENSINO SUPERIOR EM GESTÃO, TECNOLOGIA E EDUCAÇÃO",,Privada,N,N,N,Faculdade,000000003159605,Santa Rita do Sapucaí,MG,Ativa
